MUNICIPIO_NORMALIZADO,ARO,PERIODO_NORMALIZADO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
ALCALA,CARTAGO,Enero - Marzo,2026,4,1,4,4.0,4.0,0.0,0.0,0.0,1.0,1.0,Cumplido
ANDALUCIA,TULUA,Enero - Marzo,2026,6,1,6,10.0,10.0,0.0,0.0,0.0,1.0,1.0,Cumplido
ANSERMANUEVO,CARTAGO,Enero - Marzo,2026,8,2,5,25.0,23.0,2.0,2.0,0.0,0.92,0.92,Cumplido
ARGELIA,CARTAGO,Enero - Marzo,2026,5,1,5,8.0,2.0,6.0,6.0,0.0,0.25,0.25,Crítico
BOLIVAR,TULUA,Enero - Marzo,2026,6,1,6,31.0,31.0,0.0,0.0,0.0,1.0,1.0,Cumplido
BUGALAGRANDE,TULUA,Enero - Marzo,2026,4,1,4,17.0,20.0,-3.0,0.0,3.0,1.1764705882352942,1.0,Supera meta
CAICEDONIA,TULUA,Enero - Marzo,2026,6,1,6,37.0,34.0,3.0,3.0,0.0,0.918918918918919,0.918918918918919,Cumplido
CALIMA,TULUA,Enero - Marzo,2026,7,1,7,50.0,35.0,15.0,16.0,1.0,0.7,0.7,Medio
DAGUA,CALI,Enero - Marzo,2026,11,3,5,143.0,101.0,42.0,50.0,8.0,0.7062937062937062,0.7062937062937062,Medio
EL AGUILA,CARTAGO,Enero - Marzo,2026,8,2,5,35.0,25.0,10.0,10.0,0.0,0.7142857142857143,0.7142857142857143,Medio
EL CAIRO,CARTAGO,Enero - Marzo,2026,9,2,6,26.0,18.0,8.0,8.0,0.0,0.6923076923076923,0.6923076923076923,Medio
EL CERRITO,CALI,Enero - Marzo,2026,6,2,5,35.0,17.0,18.0,20.0,2.0,0.4857142857142857,0.4857142857142857,Bajo
EL DOVIO,CARTAGO,Enero - Marzo,2026,9,2,9,31.0,27.0,4.0,6.0,2.0,0.8709677419354839,0.8709677419354839,Cumplido
FLORIDA,CALI,Enero - Marzo,2026,6,1,6,17.0,7.0,10.0,11.0,1.0,0.4117647058823529,0.4117647058823529,Bajo
FLORIDA-PRADERA,CALI,Enero - Marzo,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
GINEBRA,CALI,Enero - Marzo,2026,5,2,5,44.0,6.0,38.0,39.0,1.0,0.13636363636363635,0.13636363636363635,Crítico
GUACARI,CALI,Enero - Marzo,2026,6,1,6,19.0,15.0,4.0,4.0,0.0,0.7894736842105263,0.7894736842105263,Medio
LA CUMBRE,CALI,Enero - Marzo,2026,8,2,7,49.0,18.0,31.0,32.0,1.0,0.3673469387755102,0.3673469387755102,Bajo
LA UNION,CARTAGO,Enero - Marzo,2026,9,2,9,37.0,21.0,16.0,16.0,0.0,0.5675675675675675,0.5675675675675675,Bajo
LA VICTORIA,CARTAGO,Enero - Marzo,2026,8,3,5,14.0,8.0,6.0,6.0,0.0,0.5714285714285714,0.5714285714285714,Bajo
MESAS TECNICAS,CALI,Enero - Marzo,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
MESAS TECNICAS,CARTAGO,Enero - Marzo,2026,2,2,1,8.0,4.0,4.0,4.0,0.0,0.5,0.5,Bajo
OBANDO,CARTAGO,Enero - Marzo,2026,11,3,5,26.0,20.0,6.0,6.0,0.0,0.7692307692307693,0.7692307692307693,Medio
PRADERA,CALI,Enero - Marzo,2026,5,1,5,20.0,2.0,18.0,18.0,0.0,0.1,0.1,Crítico
RESTREPO,TULUA,Enero - Marzo,2026,6,1,6,49.0,49.0,0.0,0.0,0.0,1.0,1.0,Cumplido
RIOFRIO,TULUA,Enero - Marzo,2026,6,1,6,49.0,49.0,0.0,0.0,0.0,1.0,1.0,Cumplido
ROLDANILLO,CARTAGO,Enero - Marzo,2026,9,2,9,38.0,25.0,13.0,15.0,2.0,0.6578947368421053,0.6578947368421053,Medio
RUTA DE MUESTREOS,TULUA,Enero - Marzo,2026,1,1,1,12.0,2.0,10.0,10.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
SAN PEDRO,TULUA,Enero - Marzo,2026,6,1,6,12.0,12.0,0.0,1.0,1.0,1.0,1.0,Cumplido
SEVILLA,TULUA,Enero - Marzo,2026,4,1,4,59.0,38.0,21.0,21.0,0.0,0.6440677966101694,0.6440677966101694,Medio
TORO,CARTAGO,Enero - Marzo,2026,6,2,3,18.0,15.0,3.0,3.0,0.0,0.8333333333333334,0.8333333333333334,Cumplido
TRUJILLO,TULUA,Enero - Marzo,2026,6,1,6,31.0,31.0,0.0,0.0,0.0,1.0,1.0,Cumplido
ULLOA,CARTAGO,Enero - Marzo,2026,10,2,7,14.0,16.0,-2.0,0.0,2.0,1.1428571428571428,1.0,Supera meta
VERSALLES,CARTAGO,Enero - Marzo,2026,9,2,9,30.0,27.0,3.0,5.0,2.0,0.9,0.9,Cumplido
VIJES,CALI,Enero - Marzo,2026,7,2,6,46.0,30.0,16.0,17.0,1.0,0.6521739130434783,0.6521739130434783,Medio
YOTOCO,TULUA,Enero - Marzo,2026,6,1,6,61.0,62.0,-1.0,0.0,1.0,1.0163934426229508,1.0,Supera meta
ZARZAL,TULUA,Enero - Marzo,2026,4,1,4,4.0,4.0,0.0,0.0,0.0,1.0,1.0,Cumplido
